Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
420	-3714.905	-3713.815	-1.089931	0.385314	0.234645	0.299164	0.330703	0.514657	0.095907	0.0741722	0.25977	0.123131	0.333691	0.184715	0.2024	0.296079	0.291053	0.123729	0.217704	0.268437	0.114059	0.149093	0.174458	0.1436532	0.05337828	0.0138812	0.466982	0.0106042	0.00714776	0.496015	0.00537025	0.02574359	-1.940353	0.0014717	0.0558473	0.467967	3.47471	0.289236	0.295429	0.132396	0.28294	0.07912187	0.3253663
430	-3712.28	-3708.76	-3.519405	0.4347741	0.1876979	0.18866	0.240242	0.537545	0.123625	0.167177	0.211259	0.206035	0.593093	0.167598	0.275055	0.0985549	0.148011	0.0856389	0.558886	0.0722857	0.195955	0.34208	0.254343	0.1710029	-0.08910166	0.0127949	0.480819	0.00446936	0.0092177	0.488872	0.00382615	0.1302239	-1.766074	0.00033782	0.0269935	0.350796	3.62187	0.298455	0.292242	0.131851	0.277451	0.04112223	3.166752
440	-3710.314	-3710.808	0.4940172	0.4398149	0.1837752	0.173874	0.232865	0.550518	0.0777397	0.0952209	0.168468	0.199656	0.579825	0.174299	0.223734	0.202778	0.104689	0.099552	0.2032	0.147073	0.162555	0.247864	0.429154	0.2015171	-0.0434984	0.00941845	0.480198	0.00525836	0.00976521	0.48824	0.00711985	0.07238497	-1.601881	0.000288706	0.0249709	0.340007	3.63473	0.291552	0.285482	0.151931	0.271034	0.02888657	2.505835
450	-3718.605	-3712.218	-6.386647	0.3478632	0.1729204	0.0918248	0.163367	0.479341	0.149511	0.38051	0.243379	0.227719	0.429454	0.221438	0.293605	0.179129	0.275476	0.0704191	0.114169	0.0621935	0.268369	0.978252	0.188741	0.1986749	-0.1319614	0.00759541	0.5681	0.0073535	0.00350453	0.407293	0.00615392	0.1754207	-1.616085	0.000180083	0.0197569	0.309417	3.67065	0.333612	0.298782	0.107763	0.259842	0.04345926	4.036439
460	-3719.557	-3715.26	-4.297947	0.2793901	0.1360137	0.179561	0.233706	0.666626	0.126077	0.0927703	0.0987593	0.232123	0.490148	0.211488	0.267157	0.205064	0.630355	0.350634	0.260682	0.0997755	0.229058	0.181013	0.208492	0.2501972	0.04996029	0.0088312	0.589771	0.00618224	0.00403344	0.388903	0.00227973	0.07351767	-1.385506	2.05639e-05	0.0067114	0.199356	3.79391	0.304601	0.304387	0.126295	0.264717	0.123478	0.595391
470	-3715.566	-3713.899	-1.667069	0.2837696	0.1907353	0.111854	0.306498	0.460223	0.117388	0.107824	0.163893	0.224791	0.294713	0.275287	0.23519	0.319716	0.264689	0.113337	0.397366	0.0677116	0.106079	0.203713	0.296926	0.1989426	-0.004926766	0.0137382	0.54967	0.00465601	0.00807457	0.421035	0.00282543	0.1790649	-1.614739	0.000379825	0.0286075	0.359048	3.61196	0.329703	0.281068	0.125826	0.263403	0.1741381	1.028292
480	-3720.721	-3714.685	-6.036395	0.2888046	0.2115162	0.0974045	0.152052	0.492837	0.0708749	0.115942	0.207299	0.306223	0.424808	0.279346	0.311437	0.313507	0.363002	0.273312	0.598462	0.0461032	0.30264	0.248296	0.182733	0.1928467	0.0698016	0.0113261	0.593627	0.0076202	0.00435824	0.379501	0.00356822	0.01586498	-1.645859	0.000773565	0.0406721	0.41304	3.54551	0.282625	0.302414	0.121409	0.293551	0.08566658	0.1851945
490	-3713.551	-3715.145	1.593789	0.3010426	0.1669525	0.231501	0.223144	0.559142	0.139884	0.189369	0.152408	0.242507	0.273425	0.162129	0.290288	0.157301	0.347966	0.222656	0.161188	0.147998	0.167692	0.335463	0.176304	0.2298309	0.1164811	0.00897995	0.590494	0.0060201	0.0121922	0.377498	0.00481583	0.04758293	-1.470411	0.000135329	0.0171429	0.29217	3.69055	0.294298	0.324624	0.122901	0.258178	0.164064	0.2900266
500	-3712.031	-3713.748	1.717017	0.3366428	0.2048883	0.131939	0.103459	0.417312	0.101708	0.238269	0.227073	0.27785	0.432069	0.23828	0.203084	0.270959	0.152134	0.11551	0.247312	0.131732	0.155107	0.291105	0.146747	0.1906798	0.1494175	0.00873723	0.512471	0.0107656	0.00299014	0.460249	0.00478673	0.05716187	-1.65716	0.000626319	0.0366423	0.396295	3.56644	0.276021	0.297861	0.150876	0.275241	0.2065794	0.2767066
510	-3717.571	-3711.628	-5.943519	0.2782934	0.1884035	0.0911779	0.104382	0.470124	0.125414	0.166653	0.0906999	0.332497	0.428603	0.324155	0.337824	0.286657	0.504249	0.128571	0.121954	0.187123	0.164761	0.786246	0.142344	0.2512766	-0.01199648	0.0123633	0.52509	0.013363	0.00766539	0.426907	0.0146107	0.08457165	-1.381201	0.00034726	0.0273647	0.352721	3.61957	0.296978	0.296303	0.139685	0.267034	0.07257518	1.165297
