Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
630	-3734.283	-3717.533	-16.74999	0.2436624	0.188772	0.3018775	-0.1177009	0.011318	0.567435	0.00406376	0.00978786	0.400316	0.0070795	0.2004884	0.000352267	0.0275595	0.353724	3.61836	0.293224	0.307055	0.12442	0.2753	0.08278745	2.421724
640	-3736.711	-3721.018	-15.6925	0.2455145	0.1873851	0.2685272	0.108777	0.0179609	0.525561	0.00602313	0.0122197	0.436852	0.00138334	0.04301945	0.000333695	0.0268296	0.349941	3.6229	0.311584	0.301152	0.132918	0.254347	0.1517965	0.2834022
650	-3733.675	-3718.63	-15.04455	0.2353773	0.1729839	0.3255469	-0.02861764	0.0117333	0.527304	0.00764302	0.0118204	0.438301	0.00319833	0.03899523	0.000180612	0.0197857	0.309599	3.67043	0.290938	0.317032	0.130261	0.26177	0.01037759	3.757637
660	-3737.457	-3720.259	-17.19804	0.2147924	0.1639846	0.3527058	0.2468802	0.0133274	0.482761	0.00816036	0.0134408	0.478172	0.00413823	0.01868034	0.000116496	0.0159126	0.283491	3.70048	0.295248	0.289924	0.134008	0.28082	0.2655605	0.07034305
670	-3739.761	-3723.583	-16.17895	0.2132584	0.1990213	0.3051406	0.1456973	0.0146828	0.530153	0.00861745	0.0135374	0.427908	0.00510056	0.0345998	0.000513465	0.0332128	0.381099	3.58517	0.298781	0.285967	0.157672	0.257581	0.1802971	0.1919044
680	-3736.001	-3718.171	-17.83079	0.2376834	0.1891992	0.3219501	-0.3337321	0.0138733	0.519049	0.00911051	0.00744367	0.449219	0.00130446	0.3656892	0.000358135	0.0277861	0.354886	3.61697	0.301587	0.296258	0.132996	0.269159	0.03195715	11.44311
690	-3739.363	-3723.821	-15.54281	0.2354654	0.2223016	0.3024686	0.1218995	0.0123412	0.474649	0.0149142	0.00747215	0.488174	0.0024492	0.007563397	0.0010617	0.0475501	0.439329	3.51206	0.296557	0.305302	0.133472	0.264669	0.1294629	0.05842133
700	-3741.314	-3722.771	-18.54315	0.2503481	0.1766979	0.3046602	0.419006	0.0161175	0.557249	0.00647261	0.00793395	0.411292	0.000935102	0.03511315	0.000213636	0.0215057	0.320181	3.6581	0.280611	0.319618	0.130554	0.269217	0.4541192	0.07732143
710	-3738.505	-3719.068	-19.43763	0.253493	0.2026953	0.2986075	0.3202593	0.0118395	0.492694	0.00779872	0.0056069	0.481581	0.000480235	0.1370488	0.000582276	0.0353447	0.390656	3.57342	0.294802	0.310923	0.129534	0.264741	0.4573081	0.2996859
720	-3744.137	-3728.68	-15.45714	0.2410021	0.2001937	0.2931706	0.08801355	0.00897071	0.532505	0.0131867	0.00661509	0.438144	0.00057918	0.02639201	0.00053476	0.0338873	0.384163	3.58141	0.320584	0.299595	0.124726	0.255096	0.1144056	0.2306882
730	-3735.64	-3719.081	-16.55979	0.2606403	0.2215696	0.302239	-0.07962547	0.0111511	0.527981	0.00576264	0.00912389	0.445543	0.000438097	0.1682418	0.00104014	0.0470717	0.437583	3.51431	0.288384	0.297198	0.133513	0.280906	0.08861635	1.898541
740	-3744.367	-3727.642	-16.72551	0.2470505	0.2331677	0.3053836	0.1422186	0.0214195	0.577618	0.0073728	0.00989268	0.382618	0.00107896	0.06878262	0.00141787	0.0548328	0.46462	3.47913	0.289223	0.323011	0.120263	0.267503	0.2110013	0.325982
750	-3740.369	-3723.927	-16.44231	0.250643	0.195137	0.3137254	0.204946	0.0113337	0.578382	0.00697195	0.00653037	0.393704	0.00307883	0.01347304	0.000447222	0.031018	0.370847	3.59769	0.285944	0.321674	0.147541	0.244841	0.2184191	0.06168434
760	-3744.758	-3728.072	-16.68648	0.2860724	0.2059827	0.2555572	0.1843199	0.0146305	0.586827	0.00863509	0.00816982	0.377006	0.00473188	0.06863627	0.000649149	0.0372966	0.399091	3.56296	0.282177	0.308925	0.119124	0.289774	0.2529562	0.2713366
770	-3746.497	-3730.38	-16.11719	0.3100121	0.1912718	0.2333058	0.1373196	0.0187448	0.531666	0.00739223	0.0242211	0.408703	0.00927379	0.06800858	0.000387619	0.0288968	0.360497	3.61022	0.298949	0.28499	0.121	0.295062	0.2053281	0.331219
780	-3744.148	-3728.87	-15.27787	0.2619236	0.2079061	0.2698435	0.1100013	0.0121343	0.400785	0.00821175	0.00944361	0.56028	0.00914541	0.01606131	0.000690679	0.0384574	0.403975	3.55688	0.321377	0.288923	0.143206	0.246494	0.1260626	0.1274074
790	-3737.898	-3720.336	-17.56213	0.2744681	0.2129496	0.2627804	-0.3545869	0.0121051	0.547526	0.00634277	0.013752	0.413005	0.00726917	0.3852555	0.000808305	0.0415641	0.416603	3.54103	0.298486	0.318297	0.131506	0.251711	0.03066865	12.56187
800	-3741.179	-3726.298	-14.88142	0.2487755	0.2161198	0.271054	-0.02066938	0.0127003	0.424084	0.00808221	0.00379797	0.546997	0.00433887	0.05660716	0.000888939	0.0435617	0.424407	3.53114	0.289819	0.305902	0.150237	0.254042	0.03593778	1.575144
810	-3741.002	-3725.18	-15.82197	0.2435399	0.1717938	0.2851159	-0.00476603	0.0102475	0.499369	0.0154406	0.0141245	0.459427	0.0013911	0.09732908	0.000170888	0.0192493	0.306183	3.6744	0.279283	0.312383	0.156344	0.251991	0.09256305	1.05149
820	-3740.821	-3725.919	-14.90185	0.2605638	0.1902989	0.285497	0.06014871	0.00705905	0.576381	0.0152098	0.0142152	0.386148	0.000986635	0.01057493	0.000373568	0.028373	0.357868	3.61339	0.280425	0.286793	0.14986	0.282922	0.07072364	0.1495246
830	-3738.423	-3721.549	-16.87344	0.2596955	0.1965297	0.3185488	-0.1891712	0.00804993	0.589835	0.00700098	0.00983702	0.383617	0.00166033	0.2310737	0.000470223	0.0317977	0.37454	3.59319	0.3018	0.311306	0.128924	0.25797	0.04190248	5.51456
840	-3739.65	-3721.059	-18.59063	0.2012309	0.1886208	0.380084	-0.0292314	0.00488607	0.543086	0.00863343	0.0112901	0.43082	0.00128367	0.2260721	0.000350206	0.0274795	0.353313	3.61886	0.2909	0.31023	0.14009	0.25878	0.1968407	1.148503
850	-3743.896	-3728.241	-15.65558	0.2099257	0.2028691	0.3202864	-0.03825321	0.00698731	0.56292	0.0108963	0.0152451	0.4029	0.00105115	0.0829058	0.000585685	0.0354469	0.391104	3.57286	0.290032	0.308146	0.139493	0.262329	0.0446526	1.856685
860	-3740.259	-3722.133	-18.12574	0.2401079	0.1861118	0.303854	0.03185532	0.00576381	0.510606	0.0112733	0.0161789	0.453568	0.00261012	0.2056123	0.000317281	0.0261672	0.346451	3.62706	0.281773	0.319047	0.145612	0.253568	0.2374676	0.865854
870	-3740.28	-3724.221	-16.05905	0.2604009	0.2126965	0.2832239	0.00258872	0.0063941	0.544792	0.0162502	0.0190352	0.405683	0.00784575	0.1095747	0.000802097	0.0414062	0.415975	3.54182	0.294105	0.327921	0.125665	0.252308	0.1121634	0.9769201
880	-3736.399	-3720.883	-15.51618	0.2357753	0.1714585	0.2823737	-0.008643278	0.00899315	0.5485	0.0144691	0.00815389	0.414506	0.00537788	0.08371591	0.000168221	0.0190995	0.305219	3.67551	0.311157	0.280304	0.144495	0.264044	0.07507263	1.115132
890	-3746.503	-3727.32	-19.18302	0.1851731	0.1766449	0.3775044	0.1473183	0.00593411	0.442903	0.00660939	0.0162098	0.523481	0.00486192	0.1794433	0.000213134	0.0214806	0.320031	3.65828	0.311935	0.283341	0.154338	0.250386	0.3267616	0.5491566
900	-3736.783	-3720.873	-15.91024	0.1808578	0.1778495	0.3251117	-0.08526084	0.00719917	0.510369	0.00675153	0.00412819	0.465749	0.00580344	0.1235563	0.000224731	0.022053	0.323438	3.65428	0.318638	0.295311	0.129052	0.257	0.03829548	3.226394
910	-3739.565	-3721.595	-17.97021	0.1877953	0.1819938	0.3574931	0.06572844	0.00761273	0.539687	0.0111496	0.0102648	0.428634	0.00265145	0.1531596	0.000268224	0.0240761	0.33506	3.6406	0.303661	0.305057	0.131184	0.260098	0.218888	0.6997165
920	-3736.111	-3719.522	-16.58829	0.1756189	0.1896414	0.33983	-0.01454015	0.0146176	0.561511	0.0083007	0.00576478	0.407798	0.00200786	0.1226119	0.000364284	0.0280214	0.356086	3.61553	0.286893	0.288708	0.138805	0.285594	0.1080718	1.134542
930	-3737.314	-3719.966	-17.34797	0.1620523	0.1956202	0.3967045	-0.1418648	0.012072	0.556084	0.00393408	0.00525301	0.420347	0.00231063	0.1991962	0.000455109	0.0312876	0.372131	3.59613	0.308416	0.296884	0.125133	0.269566	0.05733141	3.474469
940	-3735.404	-3719.196	-16.20709	0.1737259	0.1833901	0.385534	0.02805228	0.0164835	0.544382	0.00566159	0.00451714	0.427903	0.00105298	0.04763986	0.000284184	0.0247762	0.33894	3.636	0.286303	0.313655	0.136522	0.26352	0.07569214	0.6293897
950	-3739.641	-3720.539	-19.10213	0.1665669	0.1611463	0.4261156	-0.1182246	0.0148318	0.594605	0.00444343	0.00279211	0.378944	0.00438344	0.2770378	0.000100421	0.0147803	0.275131	3.70999	0.300004	0.295689	0.118982	0.285325	0.1588131	1.744426
