Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
420	-3706.614	-3705.304	-1.30974	0.7119154	0.1765628	0.510181	0.059333	0.148342	0.224968	0.119871	0.0887945	0.178223	0.119325	0.261014	0.161801	0.144661	0.0432103	0.0480177	0.104324	0.233411	0.0516885	0.256114	0.423942	0.1194328	-0.0009764016	0.0101967	0.517586	0.00635729	0.00318844	0.461025	0.00164693	0.01806578	0.00021236	0.0214419	0.319798	3.65855	0.285998	0.317989	0.133742	0.26227	0.01708938	1.057135
430	-3720.177	-3710.72	-9.45676	0.5710169	0.1839551	0.502697	0.0439392	0.185489	0.328721	0.212531	0.197521	0.659148	0.275706	0.201201	0.0995458	0.061453	0.0524241	0.117951	0.101119	0.15217	0.0274021	0.251806	0.799314	0.2997641	-0.05420809	0.0153732	0.592633	0.00332595	0.00497762	0.380588	0.00310275	0.1527073	0.000290836	0.0250621	0.340505	3.63414	0.301538	0.303521	0.144604	0.250337	0.0984992	1.55034
440	-3714.186	-3710.968	-3.217632	0.6330629	0.1801769	0.401868	0.0283836	0.303125	0.390044	0.145414	0.106062	0.0363165	0.0133816	0.2222	0.0848663	0.184013	0.135568	0.374151	0.035715	0.0590389	0.245421	0.309906	0.347981	0.1990181	0.04078268	0.0157323	0.556651	0.00582161	0.0123076	0.388591	0.0208964	0.06060655	0.000248455	0.0231789	0.329984	3.64659	0.296136	0.305403	0.133452	0.265009	0.1013892	0.5977612
450	-3723.698	-3718.41	-5.287913	0.5485761	0.2381309	0.584631	0.0643075	0.1941	0.340161	0.219253	0.117465	0.0628455	0.0332813	0.243169	0.289305	0.0495473	0.0872572	0.16749	0.0163333	0.101621	0.0390912	0.521688	0.131581	0.1487869	0.05009058	0.00795037	0.569069	0.00420372	0.00456698	0.403918	0.0102919	0.2173498	0.00160398	0.0582624	0.475778	3.46436	0.307916	0.312882	0.118381	0.26082	0.2674404	0.8127037
460	-3712.054	-3708.386	-3.667821	0.6794328	0.1841683	0.604801	0.0457332	0.305098	0.498311	0.154476	0.0819867	0.0353337	0.0285485	0.170735	0.153631	0.555761	0.10794	0.164756	0.0763189	0.0563057	0.0874041	0.24565	0.114921	0.2226368	-0.08593073	0.00701802	0.546296	0.00721778	0.00450694	0.417323	0.0176378	0.1113738	0.000293376	0.0251704	0.341095	3.63344	0.306704	0.304533	0.123398	0.265366	0.02544306	4.377374
470	-3715.473	-3708.813	-6.659787	0.9183771	0.2053493	0.613408	0.0231964	0.113962	0.16611	0.0972194	0.0620278	0.0789641	0.0442017	0.252797	0.150201	0.695202	0.0472884	0.192605	0.130068	0.0943624	0.153135	0.320765	0.0360179	0.1584653	-0.1296546	0.0104269	0.584464	0.00557844	0.0069394	0.37944	0.013151	0.3369672	0.000635866	0.0369174	0.397474	3.56497	0.313821	0.302183	0.110615	0.273382	0.2073125	1.625407
480	-3718.322	-3712.553	-5.768709	0.9770851	0.189404	0.93121	0.0529085	0.138829	0.332147	0.244497	0.0972193	0.0568059	0.0379395	0.500844	0.290489	0.326442	0.0376014	0.0413718	0.0799076	0.11107	0.218305	0.297972	0.161658	0.1686644	-0.009965994	0.0079586	0.641712	0.00660105	0.00547008	0.319596	0.0186621	0.0649154	0.000360973	0.027895	0.355442	3.6163	0.288606	0.31127	0.118521	0.281603	0.05494941	1.181367
490	-3715.479	-3706.396	-9.083281	0.7114346	0.1754958	0.924689	0.0385429	0.131231	0.183765	0.128923	0.0958929	0.221941	0.120441	0.379061	0.132352	0.286666	0.0466201	0.101715	0.124302	0.305685	0.0336815	0.49263	0.0716052	0.26615	-0.05481131	0.0112398	0.574515	0.0104452	0.00821828	0.390457	0.00512483	0.2437091	0.000202492	0.0209414	0.316769	3.66209	0.299487	0.323006	0.12299	0.254517	0.1888978	1.290164
500	-3730.721	-3726.466	-4.255311	0.7435457	0.2154014	0.50335	0.0483016	0.115515	0.125425	0.149794	0.126596	0.0495529	0.0874573	0.234279	0.331137	0.568501	0.0862949	0.0885488	0.572192	0.171058	0.0849141	0.0795937	0.111999	0.2046222	-0.04710045	0.0145986	0.57702	0.0115993	0.0142648	0.372113	0.0104046	0.121112	0.000870203	0.0431061	0.422647	3.53338	0.290736	0.313568	0.119593	0.276102	0.07401154	1.636393
510	-3716.368	-3714.942	-1.426022	0.7124885	0.1945414	0.517733	0.0514328	0.0957162	0.137544	0.11726	0.0620623	0.0635695	0.059037	0.3124	0.168226	0.168723	0.0481758	0.365843	0.397756	0.282589	0.0610293	0.259294	0.102082	0.1395985	0.00768388	0.00946775	0.468791	0.009819	0.0133243	0.493151	0.00544694	0.02615324	0.000437635	0.0306869	0.369262	3.59961	0.305694	0.314434	0.121809	0.258063	0.03383712	0.7729157
