Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
76	0	-3735.688	-3717.439	-18.24911	0.2195359	0.2009867	0.3115357	-0.0432091	0.0121164	0.53274	0.00967875	0.00231554	0.439901	0.00324819	0.2472309	0.000549514	0.0343467	0.386228	3.57888	0.299939	0.308813	0.131896	0.259351	0.2040218	1.211787
77	1	-3740.345	-3722.025	-18.32005	0.236869	0.2150829	0.2903769	0.07433012	0.0132145	0.543001	0.0108609	0.00102564	0.429173	0.00272533	0.2004927	0.000861983	0.0429047	0.421865	3.53437	0.307549	0.276177	0.134288	0.281987	0.2748228	0.7295344
78	0	-3739.934	-3722.104	-17.82982	0.2279012	0.1842927	0.3063795	0.1909194	0.0135743	0.534322	0.00631068	0.00898785	0.429577	0.00722778	0.1123652	0.000294865	0.0252337	0.341439	3.63303	0.298887	0.319363	0.141755	0.239995	0.3032845	0.3704942
79	1	-3744.404	-3724.765	-19.63934	0.250592	0.1868986	0.2668585	-0.3586604	0.0179548	0.496075	0.0150098	0.00182201	0.467277	0.00186141	0.5097512	0.000327352	0.0265756	0.348609	3.62449	0.300442	0.269795	0.154292	0.275471	0.1510908	3.373807
80	0	-3742.508	-3725.226	-17.28207	0.3007298	0.2484794	0.2325612	-0.389815	0.0222789	0.568901	0.00409611	0.00520619	0.393648	0.00586999	0.3983443	0.00204165	0.065594	0.498268	3.4341	0.275213	0.303596	0.131276	0.289915	0.008529261	46.70326
81	1	-3739.104	-3722.378	-16.72613	0.2907083	0.1921303	0.252138	0.06425995	0.011653	0.562504	0.0155102	0.00282172	0.404985	0.00252666	0.1310917	0.00040033	0.0293624	0.362808	3.60743	0.309441	0.305324	0.132661	0.252575	0.1953517	0.671055
82	0	-3745.803	-3727.155	-18.64751	0.283232	0.2642651	0.2195679	0.4509742	0.0273277	0.474752	0.00220745	0.00648606	0.480155	0.00907206	0.06764699	0.0028443	0.0771682	0.530619	3.38937	0.280031	0.296767	0.139808	0.283394	0.5186212	0.1304362
83	1	-3736.501	-3721.288	-15.21309	0.2921772	0.1952357	0.254778	0.08073379	0.015926	0.560319	0.0144298	0.00140828	0.403412	0.00450541	0.03537377	0.000448825	0.0310729	0.371109	3.59737	0.303434	0.295058	0.129332	0.272176	0.1161076	0.3046638
84	0	-3743.951	-3728.246	-15.70439	0.2776676	0.2445118	0.2421571	0.08897146	0.0286261	0.457205	0.000447719	0.00614156	0.500217	0.00736243	0.06561879	0.00186577	0.0627561	0.489768	3.44561	0.282788	0.289844	0.141185	0.286183	0.1545902	0.4244692
85	1	-3743.009	-3727.553	-15.45609	0.2918265	0.2553844	0.2568276	-0.07404268	0.0121359	0.484177	0.014738	0.00121268	0.485278	0.00245848	0.1235529	0.00237225	0.0706051	0.512704	3.41432	0.302581	0.284834	0.130764	0.281821	0.04951023	2.495503
86	0	-3753.712	-3738.236	-15.476	0.3484928	0.1974499	0.2744531	0.104754	0.0186921	0.376654	0.00205174	0.00350006	0.590361	0.0087415	0.02386878	0.000485879	0.0323174	0.37697	3.59023	0.30303	0.313885	0.135092	0.247993	0.1286228	0.1855719
87	1	-3739.146	-3723.919	-15.22709	0.293856	0.1859749	0.2573335	-0.06762707	0.0138999	0.5478	0.015066	0.00420277	0.417135	0.0018966	0.108458	0.000315553	0.0260964	0.346075	3.62751	0.288061	0.317215	0.141917	0.252806	0.04083089	2.656273
88	0	-3741.643	-3726.632	-15.0114	0.3538325	0.2172509	0.2087002	-0.05453055	0.0206957	0.497214	0.0101472	0.00166157	0.447914	0.0223681	0.1132578	0.000918996	0.0442825	0.427166	3.52763	0.286926	0.310156	0.134281	0.268637	0.05872727	1.928539
89	1	-3740.003	-3723.425	-16.57814	0.2840494	0.214394	0.2215278	0.1539702	0.0147112	0.511037	0.0161458	0.00970945	0.447031	0.00136466	0.09442677	0.000844391	0.0424701	0.420171	3.53651	0.284841	0.313669	0.116897	0.284593	0.2483969	0.3801447
90	0	-3747.74	-3733.158	-14.58217	0.320042	0.2714056	0.2055715	0.1222898	0.0155974	0.462181	0.0140326	0.00202152	0.481702	0.0244653	0.002405266	0.00326287	0.0825273	0.544508	3.3697	0.285535	0.309755	0.151905	0.252805	0.124695	0.01928918
91	1	-3740.234	-3724.822	-15.41255	0.2840277	0.2279572	0.2564894	0.06138449	0.00566658	0.510902	0.0148901	0.0144422	0.451744	0.00235513	0.05532296	0.00123848	0.0512998	0.452641	3.49482	0.28335	0.323891	0.135053	0.257705	0.1167075	0.4740311
92	0	-3742.027	-3727.125	-14.90169	0.3290589	0.2379531	0.2095438	-0.02116757	0.0120705	0.517516	0.0130686	0.00262317	0.448611	0.0061099	0.08936824	0.00159705	0.0581386	0.475383	3.46488	0.298881	0.283648	0.130853	0.286617	0.06820066	1.310372
93	1	-3746.201	-3726.776	-19.42522	0.2838026	0.2620602	0.2682735	-0.5993436	0.00625348	0.558155	0.0150914	0.00707266	0.410582	0.00284475	0.6141102	0.00272212	0.0755275	0.526238	3.39551	0.3041	0.292934	0.132808	0.270158	0.01476666	41.5876
